[O2-. ( 8), [0.2, 0.7575000000000001, 0.182]]
[O2-. ( 8), [0.7, 0.2575, 0.182]]
[O2-. ( 8), [0.2, 0.3675, 0.682]]
[O2-. ( 8), [0.7, 0.8674999999999999, 0.682]]
[O2-. ( 8), [0.8, 0.3675, 0.31799999999999995]]
[O2-. ( 8), [0.3, 0.8674999999999999, 0.31799999999999995]]
[O2-. ( 8), [0.8, 0.6325000000000001, 0.31799999999999995]]
[O2-. ( 8), [0.3, 0.1325, 0.31799999999999995]]
[O2-. ( 8), [0.2, 0.6325000000000001, 0.682]]
[O2-. ( 8), [0.7, 0.1325, 0.682]]
[O2-. ( 8), [0.2, 0.4925, 0.182]]
[O2-. ( 8), [0.7, 0.9924999999999999, 0.182]]
[O2-. ( 8), [0.8, 0.4925, 0.8180000000000001]]
[O2-. ( 8), [0.3, 0.9924999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.8, 0.5075000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.3, 0.007500000000000007, 0.8180000000000001]]
[O2-. ( 8), [0.2, 0.5075000000000001, 0.182]]
[O2-. ( 8), [0.7, 0.007500000000000007, 0.182]]
[O2-. ( 8), [0.7, 0.1175, 0.682]]
[O2-. ( 8), [0.19999999999999996, 0.6174999999999999, 0.682]]
[O2-. ( 8), [0.30000000000000004, 0.1175, 0.31799999999999995]]
[O2-. ( 8), [0.8, 0.6174999999999999, 0.31799999999999995]]
[O2-. ( 8), [0.30000000000000004, 0.8825000000000001, 0.31799999999999995]]
[O2-. ( 8), [0.8, 0.3825, 0.31799999999999995]]
[O2-. ( 8), [0.7, 0.8825000000000001, 0.682]]
[O2-. ( 8), [0.19999999999999996, 0.3825, 0.682]]
[O2-. ( 8), [0.625, 0.1875, 0.243]]
[O2-. ( 8), [0.125, 0.6875, 0.243]]
[O2-. ( 8), [0.375, 0.1875, 0.757]]
[O2-. ( 8), [0.875, 0.6875, 0.757]]
[O2-. ( 8), [0.375, 0.8125, 0.757]]
[O2-. ( 8), [0.875, 0.3125, 0.757]]
[O2-. ( 8), [0.625, 0.8125, 0.243]]
